"Age","Gender","Weight (kg)","Height (m)","Max_BPM","Avg_BPM","Resting_BPM","Session_Duration (hours)","Calories_Burned","Workout_Type","Fat_Percentage","Water_Intake (liters)","Workout_Frequency (days/week)","Experience_Level","BMI"
"53","1","47.8","1.76","164.0","149.0","74.0","1.06","711","1.0","28.4","1.5","4.0","2.0","15.43"
"35","0","102.5","1.94","183.0","158.0","64.0","0.84","730","2.0","21.1","2.4","2.0","1.0","27.23"
"56","0","118","1.9","199.0","126.0","68.0","0.66","412","1.0","22.6","3.2","2.0","1.0","32.69"
"49","0","82.3","1.84","192.0","146.0","71.0","1.29","932","3.0","28.4","3.4","4.0","2.0","24.31"
"41","0","81.6","1.87","167.0","128.0","59.0","1.87","1185","1.0","10.2","3.5","5.0","3.0","23.33"
"40","0","60.2","1.88","183.0","141.0","61.0","1.22","946","2.0","25.2","3.0","3.0","2.0","17.03"
"49","1","49.2","1.54","179.0","153.0","63.0","1.28","881","1.0","30.7","2.1","3.0","2.0","20.75"
"54","1","46.6","1.5","175.0","165.0","58.0","1.38","1025","3.0","30.6","2.0","2.0","1.0","20.71"
"29","1","68.7","1.72","171.0","168.0","62.0","1.08","907","2.0","29.8","1.7","4.0","2.0","23.22"
"30","1","60.6","1.55","172.0","120.0","52.0","1.3","780","3.0","32.9","1.6","3.0","2.0","25.22"
"40","0","52.1","1.61","198.0","128.0","70.0","0.87","612","1.0","21.3","3.3","2.0","1.0","20.1"
"42","1","46.6","1.77","184.0","139.0","63.0","0.61","382","0.0","28.1","2.6","2.0","1.0","14.87"
"52","0","65.5","1.74","191.0","138.0","70.0","1.48","1011","3.0","26.2","2.8","4.0","2.0","21.63"
"58","1","44.2","1.57","183.0","155.0","59.0","1.08","753","1.0","31.9","2.3","3.0","1.0","17.93"
"47","0","89.1","1.84","168.0","159.0","65.0","1.44","1133","0.0","24","3.6","3.0","2.0","26.32"
"34","0","65.9","1.62","199.0","164.0","56.0","0.81","731","0.0","28.8","2.2","2.0","1.0","25.11"
"37","1","55.6","1.57","182.0","123.0","53.0","0.97","597","2.0","29.2","2.4","2.0","1.0","22.56"
"42","0","63.7","1.98","172.0","128.0","69.0","1.37","868","0.0","24","3.0","2.0","1.0","16.25"
"39","0","86.2","1.82","191.0","160.0","72.0","1.96","1725","3.0","10.2","3.5","5.0","3.0","26.02"
"30","1","59.2","1.63","174.0","141.0","74.0","1.85","1304","3.0","17.8","2.7","4.0","3.0","22.28"
"36","0","85.4","1.88","195.0","137.0","60.0","1.98","1492","0.0","13.5","3.5","5.0","3.0","24.16"
"53","1","68.1","1.55","164.0","131.0","65.0","1.41","831","1.0","26.1","2.2","4.0","2.0","28.35"
"29","1","60","1.62","181.0","161.0","69.0","0.85","684","3.0","28.1","1.9","2.0","1.0","22.86"
"58","1","74.8","1.69","175.0","162.0","53.0","1.28","933","3.0","32.8","2.3","4.0","2.0","26.19"
"36","0","90.3","1.65","169.0","158.0","71.0","1.38","1199","2.0","23.7","3.4","4.0","2.0","33.17"
"29","0","86.1","1.65","183.0","128.0","71.0","1.66","1169","1.0","11.2","3.5","4.0","3.0","31.63"
"26","0","73.7","1.66","177.0","125.0","72.0","0.93","639","0.0","26.7","2.2","2.0","1.0","26.75"
"24","1","67.7","1.56","177.0","138.0","66.0","1.42","980","1.0","27","2.1","3.0","2.0","27.82"
"45","0","78.3","1.96","166.0","167.0","62.0","1.29","1066","2.0","29","2.2","3.0","1.0","20.38"
"31","1","48.2","1.65","163.0","166.0","60.0","1.1","913","2.0","26.1","2.5","2.0","1.0","17.7"
"48","1","56.8","1.51","185.0","126.0","52.0","1.37","777","1.0","32.1","2.1","4.0","2.0","24.91"
"36","0","112.4","1.63","164.0","135.0","58.0","1.02","757","2.0","25","3.4","4.0","2.0","42.3"
"33","1","59","1.67","175.0","124.0","55.0","0.9","558","2.0","33.7","1.9","3.0","1.0","21.16"
"22","0","98.4","1.88","194.0","135.0","71.0","0.52","386","2.0","21.3","2.2","2.0","1.0","27.84"
"52","0","66.5","1.6","185.0","120.0","70.0","1.34","796","1.0","26.8","2.1","4.0","2.0","25.98"
"29","0","106.5","1.81","177.0","156.0","60.0","1.29","1107","2.0","25.7","2.5","4.0","2.0","32.51"
"42","0","88.4","1.93","188.0","158.0","65.0","1.68","1314","0.0","12.4","3.5","4.0","3.0","23.73"
"38","0","88.4","1.79","182.0","138.0","68.0","1.74","1321","0.0","12.5","3.5","5.0","3.0","27.59"
"53","1","53.3","1.74","173.0","156.0","54.0","1.37","962","3.0","32.2","1.8","3.0","2.0","17.6"
"40","1","58.1","1.56","174.0","136.0","63.0","0.61","415","0.0","34.4","2.2","2.0","1.0","23.87"
"33","1","74.2","1.76","192.0","145.0","66.0","1.15","834","3.0","25.9","1.5","4.0","2.0","23.95"
"56","0","84.6","1.63","184.0","141.0","52.0","1.01","705","1.0","20.2","2.9","4.0","2.0","31.84"
"59","0","78","1.92","180.0","127.0","53.0","0.72","453","2.0","28.1","2.7","3.0","1.0","21.16"
"56","0","89","1.68","176.0","152.0","65.0","1.77","1332","0.0","10.5","3.5","5.0","3.0","31.53"
"31","1","42.7","1.76","182.0","121.0","65.0","1.46","883","3.0","34.9","2.2","3.0","1.0","13.78"
"48","0","83.9","1.82","176.0","149.0","70.0","1.9","1401","1.0","13.1","3.5","5.0","3.0","25.33"
"22","1","78.7","1.52","173.0","166.0","74.0","1.45","1204","3.0","31.5","2.3","3.0","2.0","34.06"
"52","1","65.9","1.52","188.0","139.0","53.0","1.27","794","2.0","27","2.3","4.0","2.0","28.52"
"40","0","76.9","1.92","179.0","137.0","68.0","1.13","851","0.0","22.4","3.7","4.0","2.0","20.86"
"46","0","84.3","2","189.0","162.0","66.0","1.83","1467","1.0","13.3","3.5","5.0","3.0","21.07"
"28","1","62.4","1.6","178.0","129.0","62.0","1.1","710","3.0","34.1","1.7","3.0","2.0","24.37"
"35","0","63.7","1.74","198.0","143.0","71.0","1.03","810","1.0","29.8","2.7","4.0","2.0","21.04"
"29","1","54.9","1.52","172.0","123.0","72.0","1.48","910","3.0","27","2.0","3.0","1.0","23.76"
"26","0","76.4","1.79","177.0","156.0","73.0","1.17","1004","3.0","21.3","2.7","3.0","2.0","23.84"
"27","0","106.4","1.86","182.0","123.0","50.0","1.34","907","2.0","20.6","3.1","2.0","1.0","30.76"
"34","1","68.4","1.5","192.0","132.0","61.0","1.37","904","2.0","33.7","2.1","4.0","2.0","30.4"
"55","0","63.5","1.86","198.0","144.0","53.0","1.36","969","3.0","22.9","2.9","4.0","2.0","18.35"
"24","1","59.4","1.5","199.0","132.0","60.0","1.25","825","0.0","25","2.0","3.0","2.0","26.4"
"30","0","113.4","1.91","177.0","137.0","54.0","1.27","957","1.0","22.2","3.7","3.0","1.0","31.08"
"57","1","61.9","1.52","168.0","143.0","51.0","0.92","592","1.0","28.4","2.6","3.0","1.0","26.79"
"59","1","70.7","1.68","192.0","121.0","66.0","1.17","637","2.0","34.9","1.9","3.0","2.0","25.05"
"26","0","111.5","1.9","191.0","167.0","57.0","1.02","937","0.0","25.2","2.2","2.0","1.0","30.89"
"44","1","72.1","1.66","176.0","152.0","55.0","1.4","958","3.0","27","2.5","2.0","1.0","26.16"
"19","0","56.9","1.87","178.0","138.0","70.0","0.61","463","2.0","23.3","3.7","3.0","1.0","16.27"
"22","0","86.2","1.9","186.0","128.0","58.0","1.91","1345","3.0","11.7","3.5","5.0","3.0","23.88"
"46","0","59.4","1.68","165.0","147.0","62.0","1.16","844","3.0","20.2","2.5","4.0","2.0","21.05"
"54","1","75.6","1.72","194.0","154.0","60.0","0.97","672","2.0","26.4","1.9","3.0","1.0","25.55"
"55","1","76.3","1.73","196.0","158.0","65.0","1.08","768","0.0","32","2.6","3.0","1.0","25.49"
"36","0","95.8","1.86","193.0","129.0","65.0","1.37","972","1.0","21.2","3.2","3.0","1.0","27.69"
"25","0","120.6","1.83","179.0","120.0","51.0","1.04","686","2.0","22.3","2.5","3.0","2.0","36.01"
"18","1","65.3","1.55","184.0","161.0","59.0","1.42","1143","0.0","28.5","2.2","3.0","2.0","27.18"
"39","0","85.3","1.89","163.0","140.0","61.0","0.77","593","3.0","27.6","3.6","2.0","1.0","23.88"
"34","0","68","1.68","169.0","128.0","57.0","0.67","472","2.0","25.8","3.4","2.0","1.0","24.09"
"24","1","52.6","1.57","169.0","166.0","60.0","1.29","1071","1.0","31.9","2.4","2.0","1.0","21.34"
"42","0","63.3","1.77","183.0","134.0","59.0","1.32","876","1.0","25.7","3.3","3.0","2.0","20.2"
"21","1","76.3","1.65","180.0","154.0","62.0","1.14","878","3.0","31.8","1.7","3.0","2.0","28.03"
"53","0","61","1.63","170.0","124.0","74.0","0.54","331","2.0","20","3.4","3.0","1.0","22.96"
"23","1","67.8","1.61","186.0","160.0","66.0","1.34","1072","1.0","34.3","1.8","2.0","1.0","26.16"
"48","0","114.9","1.86","175.0","141.0","56.0","1.36","949","2.0","21.1","3.6","3.0","1.0","33.21"
"36","0","88","1.71","185.0","160.0","73.0","1.87","1646","1.0","12","3.5","5.0","3.0","30.09"
"56","1","67.7","1.58","189.0","142.0","52.0","1.45","927","3.0","32.7","1.9","2.0","1.0","27.12"
"44","0","124.8","1.85","175.0","126.0","69.0","1.35","842","3.0","24.4","3.5","4.0","2.0","36.46"
"27","1","53","1.58","166.0","142.0","62.0","1.26","895","2.0","34.5","1.8","4.0","2.0","21.23"
"43","0","61.2","1.88","175.0","163.0","68.0","1.03","831","0.0","24.7","2.9","3.0","1.0","17.32"
"36","1","48.7","1.68","194.0","144.0","56.0","1.23","886","0.0","33.7","1.6","3.0","1.0","17.25"
"56","1","50.6","1.7","175.0","146.0","58.0","1.29","848","3.0","33.1","2.3","2.0","1.0","17.51"
"20","1","72.6","1.73","199.0","160.0","68.0","1.27","1016","1.0","34.8","2.5","3.0","2.0","24.26"
"30","1","70.4","1.56","171.0","125.0","62.0","1.03","644","0.0","34.3","2.4","4.0","2.0","28.93"
"45","0","52.5","1.88","194.0","153.0","71.0","1.08","818","3.0","29","2.9","4.0","2.0","14.85"
"37","0","76.3","1.77","180.0","128.0","57.0","1.36","957","1.0","27.3","2.1","4.0","2.0","24.35"
"45","1","41.2","1.58","195.0","168.0","71.0","1.47","1111","1.0","28.7","2.6","2.0","1.0","16.5"
"25","1","55.3","1.76","176.0","152.0","67.0","1.56","1186","0.0","15.5","2.7","4.0","3.0","17.85"
"58","1","49.7","1.67","191.0","125.0","72.0","1.38","776","3.0","31.9","2.3","4.0","2.0","17.82"
"56","0","48.3","1.87","165.0","156.0","51.0","0.68","525","1.0","29.8","3.3","3.0","1.0","13.81"
"18","0","83.2","1.96","183.0","150.0","67.0","1.83","1510","1.0","13.6","3.5","4.0","3.0","21.66"
"20","0","120.5","1.73","186.0","153.0","67.0","1.01","850","2.0","29.3","3.4","3.0","2.0","40.26"
"30","0","121.6","2","179.0","160.0","60.0","1.24","1091","2.0","28","3.3","4.0","2.0","30.4"
"45","1","73","1.75","184.0","148.0","50.0","1.14","759","0.0","26.6","2.0","4.0","2.0","23.84"
"42","1","57.5","1.67","161.0","133.0","63.0","1.76","1053","2.0","16.2","2.7","5.0","3.0","20.62"
"50","1","42.7","1.53","168.0","155.0","65.0","1.41","983","3.0","28.4","2.4","4.0","2.0","18.24"
"55","0","129.9","1.73","187.0","155.0","60.0","0.69","529","0.0","21.7","3.1","3.0","1.0","43.4"
"23","0","108.6","1.92","197.0","134.0","50.0","0.89","656","0.0","25.8","3.5","2.0","1.0","29.46"
"49","0","88.6","2","162.0","127.0","56.0","1.83","1150","2.0","14.9","3.5","4.0","3.0","22.15"
"38","1","49.7","1.51","179.0","145.0","65.0","1.25","906","1.0","32.6","2.5","3.0","1.0","21.8"
"33","1","56.4","1.54","165.0","155.0","63.0","1.06","822","3.0","29.2","1.5","3.0","1.0","23.78"
"38","0","46.9","1.74","198.0","167.0","64.0","1.03","946","3.0","20","2.6","4.0","2.0","15.49"
"28","1","71.3","1.67","192.0","140.0","63.0","1.46","1022","3.0","28.1","1.5","4.0","2.0","25.57"
"54","0","71.6","1.86","160.0","147.0","70.0","1.14","830","0.0","25.3","2.2","3.0","2.0","20.7"
"53","0","82.3","1.61","196.0","123.0","60.0","1.87","1139","3.0","11.6","3.5","5.0","3.0","31.75"
"52","1","70.6","1.69","165.0","135.0","65.0","1.36","826","1.0","26.1","2.2","3.0","1.0","24.72"
"36","0","109.8","1.62","193.0","141.0","68.0","0.84","651","1.0","24.4","3.5","3.0","1.0","41.84"
"37","1","73.5","1.69","174.0","131.0","66.0","0.54","354","2.0","27.5","1.6","2.0","1.0","25.73"
"35","0","85.6","1.85","185.0","135.0","55.0","1.78","1322","3.0","14.5","3.5","5.0","3.0","25.01"
"58","1","74.6","1.68","173.0","159.0","60.0","1.03","737","0.0","26","2.0","4.0","2.0","26.43"
"31","1","63.2","1.8","166.0","157.0","66.0","0.59","463","2.0","25.5","2.6","2.0","1.0","19.51"
"32","1","62.6","1.63","190.0","161.0","58.0","1.67","1344","1.0","15","2.7","5.0","3.0","23.56"
"48","0","87.1","1.76","183.0","156.0","67.0","1.81","1398","3.0","11.6","3.5","5.0","3.0","28.12"
"18","0","82.3","1.84","190.0","148.0","66.0","1.73","1408","1.0","13.3","3.5","5.0","3.0","24.31"
"20","1","64.3","1.78","188.0","137.0","61.0","1.71","1171","2.0","18.7","2.7","4.0","3.0","20.29"
"33","1","53.7","1.66","191.0","129.0","72.0","1.25","806","1.0","29.5","2.5","3.0","1.0","19.49"
"40","0","63","2","176.0","161.0","71.0","1.42","1257","3.0","26.8","2.9","4.0","2.0","15.75"
"28","0","128.4","1.86","173.0","158.0","71.0","1.06","921","3.0","23.6","3.3","4.0","2.0","37.11"
"29","0","88","1.89","199.0","137.0","54.0","1.75","1319","2.0","13.3","3.5","5.0","3.0","24.64"
"27","1","63.7","1.52","195.0","120.0","60.0","1.19","714","3.0","25.4","2.1","4.0","2.0","27.57"
"49","0","83.7","1.87","183.0","158.0","53.0","1.29","1009","1.0","23.9","2.3","4.0","2.0","23.94"
"33","0","102.6","1.75","186.0","140.0","53.0","1.4","1078","1.0","27.9","2.2","3.0","2.0","33.5"
"25","1","77.7","1.55","184.0","120.0","52.0","0.55","330","0.0","33","1.7","2.0","1.0","32.34"
"55","0","87.5","1.88","191.0","134.0","73.0","1.19","789","0.0","27.2","2.6","4.0","2.0","24.76"
"29","0","87","1.86","177.0","123.0","72.0","1.52","1028","0.0","11","3.5","4.0","3.0","25.15"
"41","0","82.8","1.66","177.0","139.0","74.0","1.97","1355","1.0","11.2","3.5","5.0","3.0","30.05"
"45","1","65.4","1.68","196.0","129.0","66.0","0.76","441","1.0","35","2.6","3.0","1.0","23.17"
"25","1","47.2","1.71","185.0","142.0","56.0","0.89","632","2.0","26","2.5","2.0","1.0","16.14"
"45","1","58.2","1.7","168.0","160.0","53.0","0.95","684","0.0","26.8","2.0","3.0","1.0","20.14"
"53","1","73.5","1.55","194.0","153.0","72.0","1.17","806","1.0","26.3","2.1","4.0","2.0","30.59"
"43","1","55.2","1.73","167.0","165.0","62.0","1.67","1240","2.0","16.6","2.7","5.0","3.0","18.44"
"25","1","64.4","1.71","179.0","167.0","61.0","1.12","935","1.0","27.1","1.8","3.0","1.0","22.02"
"45","1","73.5","1.74","181.0","152.0","50.0","1.18","807","2.0","30","2.3","4.0","2.0","24.28"
"45","0","89.6","1.81","178.0","153.0","70.0","1.7","1287","0.0","12.4","3.5","5.0","3.0","27.35"
"54","0","86.5","1.76","189.0","158.0","68.0","1.48","1158","0.0","29","3.4","3.0","2.0","27.92"
"58","1","46.1","1.67","187.0","129.0","70.0","1.28","743","0.0","25.3","1.8","4.0","2.0","16.53"
"53","0","68.5","1.97","194.0","139.0","69.0","1.3","894","1.0","23.2","2.1","3.0","2.0","17.65"
"44","0","94.6","1.84","170.0","120.0","67.0","1.26","748","1.0","26","3.1","4.0","2.0","27.94"
"34","1","54.2","1.52","190.0","132.0","60.0","1.13","746","2.0","31","2.2","3.0","1.0","23.46"
"26","0","47.7","1.77","198.0","120.0","69.0","1.15","759","3.0","24.8","2.7","3.0","2.0","15.23"
"50","0","52.2","1.84","195.0","124.0","52.0","1.38","847","3.0","28.2","3.1","4.0","2.0","15.42"
"37","0","88.8","1.95","189.0","135.0","66.0","1.58","1173","0.0","10.3","3.5","5.0","3.0","23.35"
"30","0","101","1.68","182.0","134.0","61.0","1.46","1076","3.0","28.2","2.9","4.0","2.0","35.79"
"45","0","118.4","1.95","178.0","168.0","59.0","1.06","881","0.0","24.9","2.4","3.0","2.0","31.14"
"46","1","47.9","1.72","171.0","147.0","57.0","1.41","933","2.0","26.3","2.0","3.0","1.0","16.19"
"30","1","51.5","1.74","174.0","150.0","64.0","1.08","810","3.0","33.9","2.0","3.0","2.0","17.01"
"52","1","79.9","1.51","190.0","142.0","54.0","0.75","479","3.0","31.5","2.6","3.0","1.0","35.04"
"23","0","121.3","1.85","196.0","167.0","53.0","0.72","661","0.0","21.6","3.6","2.0","1.0","35.44"
"35","1","78.9","1.64","196.0","164.0","70.0","1.28","1050","2.0","25.3","2.6","4.0","2.0","29.34"
"22","0","88.5","1.62","174.0","162.0","69.0","1.88","1675","3.0","10.7","3.5","5.0","3.0","33.72"
"42","0","73.5","1.63","188.0","136.0","68.0","0.52","350","3.0","26.1","3.2","3.0","1.0","27.66"
"19","0","127.9","1.93","185.0","168.0","70.0","1.27","1173","3.0","21.8","3.0","4.0","2.0","34.34"
"27","0","88.5","1.98","161.0","153.0","53.0","1.8","1515","2.0","11.1","3.5","4.0","3.0","22.57"
"47","1","43.4","1.62","179.0","132.0","64.0","0.51","303","2.0","25.3","2.3","3.0","1.0","16.54"
"22","1","42.8","1.56","174.0","133.0","66.0","1.47","978","3.0","32.2","2.6","3.0","2.0","17.59"
"50","0","64.5","1.79","163.0","130.0","61.0","1.17","753","0.0","28.1","2.4","4.0","2.0","20.13"
"18","1","50.7","1.53","181.0","147.0","52.0","1.29","948","0.0","33","2.1","3.0","2.0","21.66"
"35","0","59.2","1.66","197.0","161.0","59.0","1.3","1151","3.0","21.3","3.2","3.0","1.0","21.48"
"49","1","78.9","1.73","182.0","151.0","64.0","1.38","938","2.0","34","2.3","2.0","1.0","26.36"
"28","1","78.7","1.63","185.0","154.0","59.0","1.1","847","3.0","31.7","1.8","3.0","2.0","29.62"
"38","0","68.7","1.92","170.0","150.0","73.0","1.31","1081","2.0","29","3.0","4.0","2.0","18.64"
"43","1","53.1","1.59","187.0","136.0","72.0","0.82","502","3.0","29.5","2.5","2.0","1.0","21"
"42","0","64.8","1.65","161.0","166.0","67.0","1.1","904","2.0","24.4","2.8","3.0","2.0","23.8"
"39","1","50.3","1.61","167.0","128.0","50.0","1.17","749","1.0","32.8","2.5","2.0","1.0","19.41"
"44","0","102.3","1.63","188.0","129.0","52.0","1.34","856","0.0","20.9","2.6","4.0","2.0","38.5"
"30","0","62.9","1.92","170.0","127.0","70.0","1.13","789","1.0","25.2","3.6","2.0","1.0","17.06"
"50","1","56.5","1.6","196.0","140.0","61.0","1.88","1184","0.0","19.2","2.7","5.0","3.0","22.07"
"51","1","74.6","1.55","177.0","132.0","50.0","0.71","422","2.0","33.3","2.1","2.0","1.0","31.05"
"58","0","52","1.79","173.0","169.0","52.0","1.12","937","1.0","29.6","3.0","3.0","1.0","16.23"
"52","1","52.1","1.67","169.0","124.0","52.0","1.5","837","0.0","32","1.5","2.0","1.0","18.68"
"18","1","72.2","1.54","194.0","125.0","54.0","0.97","606","3.0","27.1","1.7","2.0","1.0","30.44"
"38","0","85.8","1.8","168.0","149.0","68.0","1.72","1410","2.0","10.1","3.5","4.0","3.0","26.48"
"23","0","81.4","1.85","194.0","150.0","74.0","1.6","1320","2.0","12.4","3.5","4.0","3.0","23.78"
"45","1","50.9","1.65","170.0","136.0","50.0","1.45","887","3.0","30.1","2.3","2.0","1.0","18.7"
"34","0","52","1.78","171.0","130.0","53.0","1.38","987","3.0","22.4","2.7","4.0","2.0","16.41"
"22","0","71","1.93","162.0","139.0","53.0","1.42","1086","0.0","21.2","2.9","4.0","2.0","19.06"
"48","0","80.6","1.77","198.0","167.0","66.0","1.51","1248","2.0","12.9","3.5","4.0","3.0","25.73"
"22","1","58.3","1.72","173.0","128.0","63.0","1","640","0.0","32.6","1.6","3.0","2.0","19.71"
"55","1","63","1.7","187.0","121.0","67.0","1.32","719","3.0","34.9","2.5","3.0","1.0","21.8"
"20","0","111","1.94","170.0","156.0","50.0","1.02","875","2.0","27.6","3.3","4.0","2.0","29.49"
"40","1","52.6","1.66","198.0","120.0","71.0","1.27","762","3.0","32.9","1.7","3.0","2.0","19.09"
"54","0","116.4","2","184.0","123.0","65.0","1.13","688","0.0","26.2","3.1","3.0","1.0","29.1"
"54","1","75.6","1.61","180.0","155.0","52.0","1.41","983","0.0","34.9","2.5","4.0","2.0","29.17"
"27","0","61.6","1.8","169.0","144.0","72.0","1.48","1172","0.0","26.4","3.1","2.0","1.0","19.01"
"27","0","108","1.8","174.0","122.0","70.0","1.38","926","2.0","28.6","2.5","4.0","2.0","33.33"
"36","1","59.3","1.75","178.0","128.0","58.0","0.99","634","3.0","34.5","2.3","3.0","1.0","19.36"
"34","0","75.7","1.94","181.0","141.0","72.0","1.18","915","3.0","29.3","2.4","4.0","2.0","20.11"
"38","1","56.3","1.6","180.0","142.0","53.0","1.21","859","0.0","28.8","1.9","4.0","2.0","21.99"
"31","1","58.2","1.73","191.0","131.0","70.0","1.17","766","0.0","25.8","1.8","3.0","2.0","19.45"
"26","0","55.7","1.68","182.0","129.0","54.0","1.13","802","0.0","21.7","2.9","3.0","1.0","19.73"
"18","0","125.9","1.67","172.0","153.0","60.0","1.46","1229","0.0","20.6","2.2","3.0","2.0","45.14"
"30","1","62.7","1.67","164.0","162.0","70.0","1.02","826","1.0","26.1","2.6","4.0","2.0","22.48"
"21","0","86.6","1.86","163.0","129.0","58.0","1.37","972","1.0","21.8","2.6","3.0","2.0","25.03"
"18","0","64.5","1.82","187.0","149.0","52.0","1.2","983","1.0","23.4","2.4","3.0","2.0","19.47"
"57","0","76.6","1.86","173.0","141.0","55.0","1.14","796","0.0","25.4","2.8","4.0","2.0","22.14"
"49","0","81.4","1.83","167.0","125.0","73.0","1.98","1225","0.0","13.6","3.5","5.0","3.0","24.31"
"51","0","60.7","1.71","168.0","169.0","60.0","1.14","954","3.0","22.1","2.5","2.0","1.0","20.76"
"45","1","57.2","1.55","194.0","121.0","58.0","1.67","909","2.0","18.4","2.7","5.0","3.0","23.81"
"48","1","73","1.59","196.0","149.0","64.0","1.19","798","3.0","32","2.1","3.0","2.0","28.88"
"25","0","123.8","1.99","180.0","121.0","72.0","1.13","752","1.0","25.6","2.6","3.0","1.0","31.26"
"56","0","93.6","1.66","177.0","151.0","52.0","1.37","1024","3.0","29","2.2","2.0","1.0","33.97"
"43","0","76.8","1.92","192.0","161.0","50.0","1.24","988","0.0","21.1","2.5","3.0","1.0","20.83"
"51","1","54.7","1.53","167.0","135.0","69.0","1.11","674","1.0","26.8","2.0","4.0","2.0","23.37"
"20","0","92.3","1.94","176.0","131.0","71.0","1.14","821","1.0","24.3","2.1","3.0","2.0","24.52"
"29","1","71.8","1.55","190.0","120.0","68.0","1.2","720","2.0","26.3","2.4","4.0","2.0","29.89"
"18","1","66.9","1.57","193.0","127.0","63.0","1.07","679","2.0","30.7","2.2","3.0","2.0","27.14"
"22","1","48.7","1.76","165.0","167.0","66.0","1.37","1144","1.0","29","2.2","4.0","2.0","15.72"
"47","0","66.2","1.71","181.0","169.0","71.0","1.42","1188","1.0","22.8","2.9","3.0","1.0","22.64"
"47","1","40","1.76","173.0","132.0","63.0","0.8","475","3.0","26.7","2.2","3.0","1.0","12.91"
"34","0","112.4","1.85","162.0","134.0","66.0","1.18","870","1.0","23.4","3.6","4.0","2.0","32.84"
"40","1","70","1.55","171.0","163.0","74.0","0.85","693","0.0","31.1","1.5","3.0","1.0","29.14"
"32","0","84","1.74","195.0","127.0","63.0","1.45","1013","3.0","25.8","2.1","3.0","1.0","27.74"
"54","1","43.8","1.65","171.0","129.0","61.0","1.29","749","0.0","26.6","1.7","4.0","2.0","16.09"
"38","0","123.3","1.62","161.0","165.0","65.0","1.34","1216","0.0","21.2","2.3","4.0","2.0","46.98"
"31","1","57.9","1.56","161.0","124.0","50.0","1.8","1116","0.0","15.1","2.7","5.0","3.0","23.79"
"19","0","82.4","1.96","174.0","169.0","62.0","1.9","1766","1.0","10.1","3.5","5.0","3.0","21.45"
"28","0","84.8","1.79","182.0","138.0","55.0","1.35","1025","2.0","28.8","2.3","4.0","2.0","26.47"
"56","0","109.6","1.66","188.0","166.0","66.0","1.29","1060","2.0","20.5","3.1","3.0","2.0","39.77"
"55","0","86.4","1.77","176.0","157.0","61.0","1","777","0.0","27.3","2.8","3.0","2.0","27.58"
"51","1","63.9","1.8","191.0","130.0","72.0","1.07","626","1.0","33.7","2.7","4.0","2.0","19.72"
"55","1","70.8","1.62","166.0","162.0","68.0","0.54","394","3.0","26","1.8","3.0","1.0","26.98"
"51","0","115.3","1.67","189.0","139.0","55.0","1.38","950","0.0","24.4","2.5","3.0","2.0","41.34"
"35","1","55.3","1.56","187.0","139.0","56.0","1.71","1188","3.0","19.8","2.7","5.0","3.0","22.72"
"47","0","73.9","1.8","173.0","140.0","50.0","1.36","942","3.0","28.3","3.7","3.0","1.0","22.81"
"32","0","97.3","1.96","189.0","137.0","50.0","1.36","1025","1.0","24.9","3.4","3.0","2.0","25.33"
"44","1","60.4","1.65","176.0","169.0","54.0","1.27","966","1.0","32.6","2.1","4.0","2.0","22.19"
"51","0","49.3","1.61","191.0","129.0","55.0","1.36","868","2.0","28.3","2.9","2.0","1.0","19.02"
"55","0","91.8","1.78","165.0","153.0","65.0","1.44","1091","2.0","23.5","3.4","3.0","1.0","28.97"
"50","1","73.6","1.55","183.0","145.0","74.0","0.89","581","1.0","33.9","2.1","3.0","1.0","30.63"
"41","0","47.1","1.78","165.0","149.0","65.0","1.26","929","0.0","24.7","2.4","3.0","1.0","14.87"
"32","0","65.2","1.62","186.0","128.0","63.0","0.58","408","2.0","25.3","3.4","2.0","1.0","24.84"
"47","0","87.2","1.64","177.0","165.0","50.0","2","1634","3.0","15","3.5","4.0","3.0","32.42"
"59","0","96.7","1.71","183.0","150.0","62.0","0.57","423","0.0","28.4","2.9","3.0","1.0","33.07"
"34","1","46.9","1.61","196.0","161.0","69.0","1.02","821","3.0","28.6","1.7","3.0","2.0","18.09"
"22","1","72.1","1.62","183.0","123.0","59.0","1.38","849","1.0","25.1","2.1","3.0","1.0","27.47"
"46","1","62.5","1.54","197.0","125.0","73.0","1.61","906","3.0","18.1","2.7","4.0","3.0","26.35"
"21","0","110.7","1.69","193.0","133.0","59.0","1.06","775","0.0","27","2.7","3.0","1.0","38.76"
"27","0","102.6","1.83","199.0","123.0","58.0","1.41","954","1.0","26.5","3.5","3.0","2.0","30.64"
"34","1","64.3","1.62","174.0","145.0","62.0","1.76","1276","0.0","19.8","2.7","5.0","3.0","24.5"
"27","0","80.7","1.61","170.0","166.0","52.0","1.75","1598","3.0","14.3","3.5","4.0","3.0","31.13"
"34","0","115.3","1.81","181.0","167.0","67.0","1.36","1249","0.0","24.5","2.2","2.0","1.0","35.19"
"37","0","87.8","1.69","183.0","158.0","69.0","1.81","1573","1.0","10.3","3.5","5.0","3.0","30.74"
"41","0","74.3","1.61","160.0","136.0","51.0","1.06","714","3.0","24.8","3.5","4.0","2.0","28.66"
"22","1","78.5","1.7","177.0","138.0","66.0","1.36","938","3.0","31.9","2.1","4.0","2.0","27.16"
